file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation
20191030_FOMC,0,2861.6620625,sample_data,-46.6730219522934,-47.8795324895888,32.6314365198768
20190501_FOMC,0,2471.61325,sample_data,-45.8582745659712,-46.4404877578765,19.6487751589147
20191211_FOMC,0,3095.09225,sample_data,-46.3625419616231,-47.6775872257984,24.1793821977476
20190918_FOMC,0,3114.898875,sample_data,-46.2965401667475,-47.7613379775656,20.4891702583064
20200129_FOMC,0,3245.035125,sample_data,-46.583233436979,-47.7138527036049,29.2479703126269
20190619_FOMC,0,2641.142125,sample_data,-43.0029419114473,-44.3380307148675,25.3867001853152
20200429_FOMC,0,2894.1013125,sample_data,-46.2954113541343,-47.5488762079736,17.0117516201074
20200610_FOMC,0,3489.472,sample_data,-47.1009494278501,-48.346511243379,21.7881851826715
20210728_FOMC,0,3282.752,sample_data,-46.1547970451603,-47.6204504655801,30.0253175515314
20210616_FOMC,0,3611.7546875,sample_data,-46.5859597148197,-48.0779245119335,26.4422517422169
20210922_FOMC,0,3258.72325,sample_data,-45.9229544115481,-47.7402801719712,22.581224915938
